repo,archetype,language,stars,score,subscore_artifacts,subscore_distribution,subscore_responsiveness,subscore_diversity,subscore_security,extracted_at
nodejs/node,federation,javascript,118327,97.36795185810541,1.0,1.0,0.9647804418103448,0.8714895347932347,1.0,2026-07-23
langgenius/dify,federation,typescript,149992,86.16092828974593,0.7777777777777778,1.0,0.75,0.7810989230200984,1.0,2026-07-23
infiniflow/ragflow,federation,go,85799,79.81709212198479,0.4444444444444444,1.0,1.0,0.7803987340582444,0.8,2026-07-24
zed-industries/zed,federation,rust,87461,85.66467550352111,0.7777777777777778,1.0,0.860980952666028,0.8000408003837409,0.8,2026-07-24
huggingface/transformers,federation,python,162923,85.21886782681248,0.6666666666666666,1.0,0.8351447757024265,0.7899537097398194,1.0,2026-07-24
openinterpreter/openinterpreter,federation,rust,67230,69.65751260105927,0.6666666666666666,1.0,0.5666666666666667,0.5105008400706177,0.6,2026-07-24
supabase/supabase,federation,typescript,106886,94.77897903475244,0.8888888888888888,1.0,0.975,0.8704504541686816,1.0,2026-07-24
google-gemini/gemini-cli,federation,typescript,106148,83.57991235592756,0.6666666666666666,1.0,0.7583333333333333,0.7831052681729492,1.0,2026-07-24
krahets/hello-algo,stadium,java,128764,34.08009697305063,0.3333333333333333,0.1430475458157119,0.6682107204861111,0.15375737230681832,0.4333333333333333,2026-07-24
danielmiessler/SecLists,stadium,php,72379,34.007797083712596,0.5555555555555556,0.0,0.5762447367895913,0.106267563935459,0.4666666666666667,2026-07-24
Genymobile/scrcpy,stadium,c,146316,33.28617594451653,0.4444444444444444,0.0,0.6544409772110472,0.0390830192789649,0.5666666666666667,2026-07-24
jekyll/jekyll,stadium,ruby,51591,68.38639275959298,0.8888888888888888,0.5566403681788298,0.7485687809307151,0.4017857142857143,0.75,2026-07-24
ventoy/Ventoy,stadium,c,78216,48.129700599381906,0.4444444444444444,0.49945413733292526,0.4654081322124156,0.4149382273799567,0.6,2026-07-24
macrozheng/mall,stadium,java,84400,15.924229772927688,0.2222222222222222,0.0,0.3309337108686067,0.25,0.0,2026-07-24
huginn/huginn,stadium,ruby,49676,45.43051721247552,0.3333333333333333,0.19123928447549665,0.9416666666666667,0.3988578955947625,0.5,2026-07-24
fatedier/frp,stadium,go,108315,35.457248568430124,0.4444444444444444,0.0,0.6994119957010582,0.0905265028865236,0.6,2026-07-24
gohugoio/hugo,stadium,go,89132,59.28724768394641,0.5555555555555556,0.4608998165162506,0.65,0.3917242254767503,1.0,2026-07-24
doocs/advanced-java,stadium,java,79014,40.167530979190566,0.4444444444444444,0.029629629629629645,0.8916666666666666,0.4488230529336923,0.25,2026-07-24
gin-gonic/gin,stadium,go,88947,65.89992609841698,0.5555555555555556,0.785967485004802,0.7429346264367815,0.5002105037114944,0.6666666666666667,2026-07-24
MisterBooo/LeetCodeAnimation,stadium,java,76636,24.305555555555557,0.2222222222222222,0.0,0.75,0.0,0.25,2026-07-24
tmux/tmux,stadium,c,48010,46.88860525534641,0.5555555555555556,0.15133298091732575,0.575,0.38109278956829207,0.8,2026-07-24
tesseract-ocr/tesseract,stadium,c++,75531,54.75616092000332,0.4444444444444444,0.2540551259171127,0.8999999999999999,0.4529114440642923,0.8333333333333334,2026-07-24
monicahq/monica,stadium,php,24894,41.579707003537294,0.6666666666666666,0.09473279507881575,0.42046792328042326,0.19235746628611794,0.75,2026-07-24
junegunn/fzf,stadium,go,81942,54.098614730953706,0.6666666666666666,0.13194672389849774,0.8083333333333332,0.1977742200105291,1.0,2026-07-24
firefly-iii/firefly-iii,stadium,php,24119,58.82553606524533,0.8888888888888888,0.1752162406656821,0.65,0.2815271884254036,1.0,2026-07-24
microsoft/markitdown,stadium,python,168701,59.6143401410598,0.3333333333333333,0.8735678585159553,0.35,0.5294540229885057,0.9666666666666666,2026-07-24
hashicorp/vagrant,stadium,ruby,27196,68.934060308805,0.6666666666666666,0.6374074074074073,0.7785834979645594,0.3840358998441311,1.0,2026-07-24
pbatard/rufus,stadium,c,37017,40.59197699175852,0.4444444444444444,0.220042866013661,0.3333333333333333,0.15420850424261484,1.0,2026-07-24
guzzle/guzzle,stadium,php,23457,47.57868519524661,0.6666666666666666,0.0,0.75,0.26080123523866267,0.8,2026-07-24
WerWolv/ImHex,stadium,c++,54266,44.26694084971518,0.6666666666666666,0.0,0.75,0.1400182788699009,0.7,2026-07-24
anthropics/skills,stadium,python,163863,40.210090149961545,0.1111111111111111,0.6451440329218107,0.75,0.4202474366092329,0.0,2026-07-24
gitlabhq/gitlabhq,stadium,ruby,24499,27.71854246487867,0.5555555555555556,0.0,0.3100171615581098,0.25862068965517243,0.25,2026-07-24
garrytan/gstack,stadium,typescript,124039,21.89493976277107,0.3333333333333333,0.0,0.4430285838293651,0.06340231685669569,0.25,2026-07-24
flatpak/flatpak,club,c,4999,70.3720911753264,0.5555555555555556,0.6699981234753237,0.8817793642241378,0.6731774610047776,0.8,2026-07-24
lemonade-sdk/lemonade,club,c++,5092,78.0811944348961,0.4444444444444444,0.8442433169854645,1.0,0.924266693276559,0.8,2026-07-24
vllm-project/semantic-router,club,go,5040,88.47918720455678,0.7777777777777778,1.0,1.0,0.9023161840074891,0.7,2026-07-24
SwiftOldDriver/iOS-Weekly,club,javascript,4992,75.54353245467217,0.5555555555555556,0.9682547081485731,0.75,0.896551724137931,0.6,2026-07-24
raspberrypi/pico-sdk,club,c,4897,63.560434745935154,0.4444444444444444,0.7271427709987958,0.9698433366402116,0.524925841803328,0.4666666666666667,2026-07-24
github/explore,club,ruby,4827,79.57552014853275,0.6666666666666666,0.9835242113723126,0.8743998110898253,0.6388501317174505,0.75,2026-07-24
cilium/tetragon,club,c,4855,91.37138560327233,0.8888888888888888,0.9028555346445892,1.0,0.8051850009956925,0.9666666666666666,2026-07-24
vllm-project/aibrix,club,go,4977,79.78430973809934,0.6666666666666666,0.8628880327253233,1.0,0.6696961502199722,0.7666666666666667,2026-07-24
statamic/cms,club,php,4853,80.79939271663996,0.7777777777777778,0.732693329460646,0.75,0.8691743357119579,1.0,2026-07-24
lobsters/lobsters,club,ruby,4802,62.281708944105496,0.5555555555555556,0.5581863717658967,0.7300899485153257,0.5724241193841785,0.75,2026-07-24
Expensify/App,club,typescript,4973,88.22181762851213,0.6666666666666666,1.0,0.9777575480922733,1.0,0.8,2026-07-24
SolaceLabs/solace-agent-mesh,club,python,4968,83.07710825403471,0.6666666666666666,1.0,0.9734813161375662,0.8627210176411149,0.6,2026-07-24
hashicorp/terraform-provider-azurerm,club,go,4960,90.83669531128186,0.6666666666666666,0.9926912757886946,0.9864228414066776,0.9749526614509516,1.0,2026-07-24
NVIDIA/nccl,club,c++,4904,62.392588245187916,0.4444444444444444,1.0,0.4903669601521164,0.6982758620689655,0.4,2026-07-24
Gentleman-Programming/gentle-ai,club,go,5025,44.918535031606766,0.5555555555555556,0.0,0.8196068948412698,0.17583388305949862,0.8,2026-07-24
spring-cloud/spring-cloud-gateway,club,java,4893,72.4446574579071,0.5555555555555556,0.7993959620008885,0.6583333333333333,0.6936135234886224,1.0,2026-07-24
librenms/librenms,club,php,4797,79.06450636494414,0.7777777777777778,0.741271418306671,0.8916666666666666,0.7503295419666385,0.8,2026-07-24
mozilla/uniffi-rs,club,rust,4817,58.33149103174622,0.5555555555555556,0.5197007958371594,0.975,0.5466721497952226,0.25,2026-07-24
microsoft/FluidFramework,club,typescript,4937,82.12366868746126,0.7777777777777778,1.0,0.6344069320436507,0.8660723734762532,0.8,2026-07-24
X11Libre/xserver,club,c,4732,50.62268551058311,0.5555555555555556,0.12983413742964425,0.75,0.4325295457302075,0.8,2026-07-24
asterinas/asterinas,club,rust,4779,73.84520724147563,0.4444444444444444,0.9865738126607692,0.9283455808987867,0.8418559463913048,0.4583333333333333,2026-07-24
dtyq/magic,club,typescript,4939,60.992567118737064,0.3333333333333333,0.8954311820133801,0.6798245614035088,0.861797533799937,0.25,2026-07-24
Martian-Engineering/lossless-claw,club,typescript,4894,52.84056241147738,0.2222222222222222,0.4870157786712766,0.7714008014903758,0.5121064239554929,0.8,2026-07-24
mavlink/qgroundcontrol,club,c++,4792,68.78126386577091,0.8888888888888888,0.4778795512483953,0.6359917534722221,0.5928145195262907,0.8666666666666666,2026-07-24
ydb-platform/ydb,club,c++,4757,83.76369135901716,0.6666666666666666,1.0,0.8583333333333334,0.8620238683789216,0.8,2026-07-24
bcoles/kasld,toy,c,500,27.333333333333332,0.3333333333333333,0.0,0.5,0.0,0.6,2026-07-23
LnYo-Cly/ai4j,toy,java,420,32.343457354566944,0.2222222222222222,0.0,0.75,0.18586011993409268,0.6,2026-07-23
pietheinstrengholt/rssmonster,toy,javascript,477,32.01819923371648,0.2222222222222222,0.0,0.5666666666666667,0.25862068965517243,0.75,2026-07-24
yan-labs/serenity-aleabitoreddit,toy,python,454,23.487565642137636,0.1111111111111111,0.21766246550299703,0.5574954316616494,0.27455450623679617,0.0,2026-07-24
amalshaji/dbcooper,toy,typescript,456,33.60925414978097,0.2222222222222222,0.0,0.719596767526455,0.3107842162464209,0.6,2026-07-24
haxenme/nme,toy,c,496,35.745804001113626,0.2222222222222222,0.062437524029219454,0.75,0.5086206896551724,0.4,2026-07-24
erickong/penecho,toy,javascript,1374,29.220366308385742,0.4444444444444444,0.0,0.46838531332671957,0.14943659538268275,0.4333333333333333,2026-07-24
edbrowse/edbrowse,toy,c,471,25.9811986709268,0.2222222222222222,0.014486975013290817,0.75,0.3375645826692651,0.0,2026-07-24
fustyles/Arduino,toy,c++,426,6.527777777777777,0.1111111111111111,0.0,0.0,0.25,0.0,2026-07-24
JungHoonGhae/tossinvest-cli,toy,go,461,51.86882602414573,0.7777777777777778,0.11121256287151347,0.75,0.17627116719422978,0.8,2026-07-24
spring-cloud/spring-cloud-circuitbreaker,toy,java,358,62.13181262830487,0.4444444444444444,0.479353483939213,0.75,0.6024576279142287,1.0,2026-07-24
test-unit/test-unit,toy,ruby,275,44.63827912680613,0.2222222222222222,0.20879999999999999,0.75,0.4575149047500383,0.8,2026-07-24
AITabby/opencodex,toy,typescript,397,16.605817706792873,0.1111111111111111,0.24080243241456797,0.0,0.25386527457672636,0.26666666666666666,2026-07-24
justnullname/QuickView,toy,c++,376,35.39198919651551,0.3333333333333333,0.0,0.6416666666666666,0.34835483532325623,0.6,2026-07-24
gittower/git-flow-next,toy,go,395,41.52828181139456,0.5555555555555556,0.0,0.7281184895833334,0.2718015420559335,0.6,2026-07-24
morshedalam/rename,toy,ruby,245,22.26437251984127,0.2222222222222222,0.16444444444444442,0.4423852926587301,0.25,0.0,2026-07-24
containers/conmon-rs,toy,rust,243,49.29296482905311,0.5555555555555556,0.0,0.9,0.3602717293442817,0.8,2026-07-24
JChristensen/Timezone,toy,c++,304,29.300761294699875,0.4444444444444444,0.0,0.4969825091794381,0.25,0.3,2026-07-24
yolfinance/yolfi-agent,toy,javascript,207,27.595371143724556,0.2222222222222222,0.1739331026528258,,0.3448275862068966,0.4666666666666667,2026-07-24
EFanZh/LeetCode,toy,rust,229,22.12962962962963,0.1111111111111111,0.0,0.5925925925925926,0.25,0.25,2026-07-24
Au1rxx/free-vpn-subscriptions,toy,go,363,12.05601819712015,0.1111111111111111,0.0,,0.05780245199455625,0.4,2026-07-24
Aleksefo/react-native-webp-format,toy,ruby,172,26.032655352011492,0.2222222222222222,0.32666666666666666,0.2280216564894636,0.25,0.26666666666666666,2026-07-24
Defelo/nixpkgs-review-gha,toy,rust,211,42.646830500802025,0.2222222222222222,0.40705345234431106,0.75,0.5443292424425794,0.25,2026-07-24
tailuge/billiards,toy,typescript,232,36.45134003306575,0.4444444444444444,0.01341514768693979,0.75,0.41699001531874264,0.25,2026-07-24
ImageMagick/ImageMagick6,toy,c,249,57.1394419670241,0.7777777777777778,0.1307534525309808,0.7916666666666666,0.4054309493072106,0.8340909090909092,2026-07-24
